建筑业增加值(亿元),乡村人口(万人),建筑业城镇单位就业人员(万人),国有城镇单位就业人员工资总额指数(上年=100),城镇单位就业人员平均工资(元),建筑业城镇单位就业人员工资总额(亿元),教育城镇单位就业人员工资总额(亿元),全社会固定资产投资中其他资金(亿元),全社会住宅投资(亿元),城镇住宅投资(亿元),房地产住宅投资(亿元),房地产业全社会固定资产投资(亿元),房屋施工面积(万平方米),住宅房屋施工面积(万平方米),固定资产投资(不含农户)其他资金(亿元),固定资产投资(不含农户)(亿元),房地产业固定资产投资(不含农户)(亿元),固定资产投资(不含农户)房屋施工面积(万平方米),固定资产投资(不含农户)住宅施工面积(万平方米),内资房地产开发企业个数(个),房地产开发住宅投资额(亿元),房地产开发企业住宅新开工房屋面积(万平方米),房地产开发企业其他用途新开工房屋面积(万平方米),商品房销售面积(万平方米),住宅商品房销售面积(万平方米),办公楼销售额(亿元),1-5亿元房地产开发投资额(亿元),地方财政医疗卫生支出(亿元),鲜菜类居民消费价格指数(上年=100),菜类商品零售价格指数(上年=100),乡镇数(个),镇数(个),村民委员会数(个),林业总产值指数(上年=100)(%),机动脱粒机数量(台),蔬菜播种面积(千公顷),建筑业企业从业人员(万人),内资建筑业企业从业人员(万人),国有建筑业房屋施工面积(万平方米),客运量(万人),公路客运量(万人),公路旅客周转量(亿人公里),新注册民用汽车拥有量(万辆),新注册民用载客汽车拥有量(万辆),新注册民用中型载客汽车拥有量(万辆),新注册民用小型载客汽车拥有量(万辆),新注册民用载货汽车拥有量(万辆),新注册民用轻型载货汽车拥有量(万辆),餐饮业企业所有者权益合计(亿元),普通高等学校专科招生数(万人),普通高等学校无职称专任教师数(万人),中等职业学校招生数(万人),中等职业学校在校学生数(万人),中等职业学校毕业生数(万人),中等职业学校获得职业资格证书毕业生数(万人),中等职业学校预计毕业生数(万人),普通高中学校数(所),普通高中招生数(万人),普通高中在校学生数(万人),普通高中毕业生数(万人),普通高中教职工数(万人),普通高中专任教师数(万人),初中学校数(所),初中招生数(万人),初中在校学生数(万人),初中毕业生数(万人),普通小学学校数(所),普通小学招生数(万人),普通小学在校学生数(万人),普通小学毕业生数(万人),普通小学教职工数(万人),普通小学专任教师数(万人),特殊教育招生数(万人),特殊教育在校学生数(万人),特殊教育毕业生数(万人),小学生师比(教师人数=1),国内外观设计专利申请受理量(项),国内外观设计专利申请授权量(项),自动气象站站点个数(个),乡村医生和卫生员数(万人),其他办的村卫生室个数(个),基层医疗卫生机构床位数(万张),农村卫生机构床位数(万张),医疗卫生机构门诊健康检查人数(万人),入院人数(万人),医疗卫生机构出院人数(万人),政府办医院病床工作日(日),政府办医院病床使用率(%),家庭儿童收养登记总数(件),中国公民收养登记数(件),农村集中供养五保人数(万人),国家重点优抚对象(万人),国家重点优抚对象定期补助人数(万人),福利彩票销售额(亿元),福利彩票提取公益金(亿元),结婚登记(万对 ),内地居民登记结婚(万对),内地居民初婚登记(万人),社会组织女性职工人数(人),自治组织单位数(个),村民委员会单位数(个),村民委员会职工人数(人),艺术表演团体机构数(个),艺术表演团体演出场次(万场次),艺术表演团体国内演出场次(千场次),博物馆参观人次(万人次),公共图书馆参观展览人次(万人次),城镇居民基本医疗保险年末参保人数(万人),城镇居民医疗保险基金收入(万元),城镇居民医疗保险基金支出(万元),城镇居民医疗保险基金累计结余(万元),odds
0.178593973321,0.0102929532858,0.100673384593,0.583732057416,1.0,0.15548802966,0.559049458695,0.510041118457,0.335218534005,0.348435361315,0.332716435362,0.418295459923,0.193008263971,0.171663515092,0.512521265737,0.168673511359,0.427966805924,0.201469625945,0.199459098151,0.434392828036,0.332716435362,0.140627461147,0.387595497921,0.164288145366,0.131863928078,1.0,0.0757120812884,0.445797024743,0.698113207547,0.727272727273,0.016961130742,0.0245433789954,0.0318084931956,1.0,0.00244137012651,0.0210663055195,0.0600594674245,0.0583647831939,0.445790211079,0.396193870008,0.346369736406,0.0896907304498,0.306927944932,0.337727359148,1.0,0.33436772692,0.0850386539336,0.0907903331156,0.48429867411,0.118119266055,0.206896551724,0.10113753878,0.105936466868,0.136948347516,0.143745143745,0.150963149079,0.265720081136,0.0568053993251,0.0625174305104,0.0612129760226,0.205349439172,0.119943222143,0.0565656565657,0.0481756199895,0.0470447243613,0.0330640233553,0.0131875074032,0.0649232518476,0.0543108182317,0.041095890411,0.0807660283097,0.0760983813328,0.125,0.174825174825,0.184782608696,0.362779740872,0.0347519516495,0.0453126128802,0.047619047619,0.0202095808383,0.0,0.0122050447518,0.0,0.129883101612,0.158365796786,0.158567253927,0.548617218802,0.546428571429,0.0457271364318,0.0332656170645,0.00377358490566,0.0378863409771,0.0343195266272,0.251077586207,0.236966824645,0.121602174608,0.120819331093,0.0935902155684,0.201083579218,0.0515915457092,0.0318084931956,0.0285069121599,0.270354906054,0.0614258434118,0.0600892572522,0.0767587113741,0.293707247676,0.0238979322481,0.0521698786269,0.0667893115397,0.047000227098,0.154171552877
0.116034421153,0.00534441805226,0.0699412579397,0.318181818182,0.538744173293,0.0913232149816,0.188790560472,0.202534534057,0.207031597238,0.21738163087,0.189794855613,0.234209445992,0.195601859565,0.160041173766,0.203519386955,0.234344218681,0.240753810603,0.20672891887,0.190871031013,0.175061124694,0.189794855613,0.141309198782,0.180929909521,0.159388487729,0.166939070131,0.0355732287273,0.1093371363,0.167570837193,0.735849056604,0.763636363636,0.00400471142521,0.0114155251142,0.0286522380718,0.0987261146497,0.0153880298883,0.0364832370581,0.039153773287,0.0390989944842,0.256489679114,0.104504299587,0.0895801312217,0.0491263113865,0.213889197291,0.232650991825,0.0882352941176,0.233191104215,0.0859481582538,0.088177661659,0.19330076762,0.202981651376,0.114942528736,0.0564632885212,0.0574241770878,0.0651098357411,0.0694120694121,0.0586264656616,0.166328600406,0.0499156355456,0.0567072603886,0.0655853314528,0.10569456428,0.08303761533,0.0516273849607,0.0325166704128,0.0343209750625,0.0244415778396,0.00311920085284,0.0317225696418,0.0282591982427,0.0250203290173,0.0476686094921,0.0409922219886,0.025,0.0512820512821,0.0326086956522,0.369846878681,0.0204064211295,0.0234871045682,0.0382653061224,0.0284431137725,0.113939393939,0.033360455655,0.0157013258897,0.0747651656637,0.0812912774543,0.0813172609514,0.555751001661,0.553571428571,0.0327336331834,0.0266632808532,0.0,0.0398803589232,0.0437869822485,0.138469827586,0.116903633491,0.0727534377998,0.0724915986558,0.0601709821246,0.0710632793692,0.0320346320346,0.0286522380718,0.0201830300429,0.0260960334029,0.0120942075111,0.0127829136117,0.0841551610782,0.17270477267,0.0851913770348,0.11241919035,0.107983673262,0.0565394100356,0.467513316175
0.407452953788,0.705859065717,0.212211662448,0.157894736842,0.0584955671328,0.168885541851,0.508048455445,0.268016376718,0.537255355798,0.494431520247,0.490437758802,0.529226928991,0.725747234385,0.575509854415,0.269319644363,0.61965042391,0.498950447938,0.719033498085,0.588616123881,0.520945395273,0.490437758802,0.444926099968,0.288391829279,0.494388579598,0.491442400927,0.0810338805449,0.563403506231,0.643555185906,0.716981132075,0.581818181818,0.435571260306,0.538812785388,0.643452478548,0.216560509554,0.152622623363,0.661391337995,0.151720871487,0.15197540313,0.210583481704,0.380758319591,0.349585954269,0.226655398772,0.748750971467,0.721084986374,0.254901960784,0.720713731575,0.946793997271,0.797517962116,0.124214933706,0.617354740061,0.367816091954,0.443433298862,0.528101193043,0.654462695428,0.591556591557,0.623534338358,0.541582150101,0.500562429696,0.483266710049,0.549788434415,0.505608283003,0.556422995032,0.513131313131,0.555330785944,0.500382477434,0.423721909159,0.465076795515,0.536952814099,0.567523338825,0.496653530994,0.641548709409,0.630859785579,0.3,0.286713286713,0.141304347826,0.689045936396,0.019014977229,0.0249640790181,0.573554421769,0.62125748503,0.399393939394,0.546786004882,0.645847871598,0.39014179982,0.630461190466,0.631859563348,0.620736831819,0.621428571429,0.100949525237,0.094718131031,0.332075471698,0.576271186441,0.598816568047,0.356142241379,0.303317535545,0.582986888391,0.583053288526,0.508610463452,0.287631822429,0.631779984721,0.643452478548,0.550278768311,0.487473903967,0.229789942712,0.213037934332,0.402038132807,0.231715159901,0.127391113066,0.107708266767,0.0885698403288,0.182561750936,0.568230875887
0.161606717485,0.293745051465,0.0876355126797,0.148325358852,0.148176583493,0.0794055380597,0.283844691014,0.116075358811,0.278563557595,0.261678500168,0.184484757909,0.264230456407,0.270452898875,0.331970771392,0.116258117964,0.281125842151,0.25158514235,0.260453534103,0.343065045012,0.362673186634,0.184484757909,0.22158688176,0.188802839012,0.141514361684,0.143733638583,0.01913001424,0.257407706577,0.304973252935,0.735849056604,0.7,0.255830388693,0.264269406393,0.364308356561,0.127388535032,0.0624398905082,0.126530499433,0.0837938111778,0.0833311340424,0.212580180971,0.211308451959,0.183906722911,0.141369390595,0.307649605862,0.316243107928,0.127450980392,0.315360744763,0.24874943156,0.205747877204,0.234473133287,0.356651376147,0.402298850575,0.282109617373,0.301063676872,0.303384128241,0.32116032116,0.312185929648,0.481744421907,0.378515185602,0.369712745189,0.382792665726,0.385245901639,0.397444996451,0.425589225589,0.277665392972,0.297133969096,0.337972706905,0.323251865598,0.194769755543,0.219835255354,0.269719146807,0.336178184846,0.339920117721,0.1125,0.146853146853,0.108695652174,0.16961130742,0.0224210270222,0.0120004174058,0.335034013605,0.300149700599,0.527878787879,0.292107404394,0.300069783671,0.785061907726,0.242631145366,0.243284441822,0.339783054823,0.339285714286,0.0549725137431,0.020060944642,0.101886792453,0.179461615155,0.173964497041,0.134698275862,0.118483412322,0.29772945315,0.297887662026,0.281220599665,0.169814447416,0.352151769799,0.364308356561,0.326565921809,0.201461377871,0.115213239975,0.114854956965,0.163708086785,0.133104671331,0.0731016278047,0.0572611601574,0.0500763980967,0.102531556496,0.32578651487
0.276920557408,0.156967537609,0.0566884760495,0.502392344498,0.227072479664,0.0693205396922,0.285461869039,0.0926571238868,0.211612098158,0.211374400834,0.19314197881,0.216082597675,0.24869618627,0.281603825234,0.0930766158261,0.375895702565,0.215054583537,0.255145371333,0.32123760243,0.351263243684,0.19314197881,0.296236742623,0.203069253237,0.237309667987,0.220368501899,0.0537628630538,0.253084803547,0.294387841899,0.622641509434,0.636363636364,0.155005889282,0.223744292237,0.130663496748,0.0796178343949,0.0790855959163,0.133677897239,0.0465477318177,0.0466865482568,0.0259310748518,0.122347113495,0.100603294761,0.121582285505,0.220328633285,0.22872171874,0.0588235294118,0.229506077062,0.163256025466,0.188112344873,0.276343335659,0.192660550459,0.149425287356,0.160082730093,0.163791864309,0.176330892539,0.172494172494,0.161641541039,0.251521298174,0.203318335208,0.205029283257,0.207193229901,0.202329594478,0.207239176721,0.146801346801,0.138757773282,0.143403539191,0.139656460045,0.0611600268488,0.101819215463,0.111565074135,0.116782385688,0.220024979184,0.192978768131,0.0625,0.0815850815851,0.0434782608696,0.0671378091873,0.00506212412875,0.00612462774625,0.225552721088,0.13997005988,0.111818181818,0.171684296176,0.20900209351,0.121411081137,0.184413353998,0.185879063756,0.257500244308,0.257142857143,0.0407296351824,0.0347892331133,0.101886792453,0.0568295114656,0.0520710059172,0.190193965517,0.169036334913,0.167892548769,0.167866858697,0.135926698572,0.099193069512,0.135752482811,0.130663496748,0.118485898104,0.115866388309,0.0747931253978,0.0721708638827,0.143655489809,0.094654376084,0.0875318961725,0.0732270023504,0.0741410770082,0.0904431183437,0.0
0.469035850405,0.244457640538,0.263384115765,0.349282296651,0.131688145508,0.273658932201,0.395549765659,0.391465969434,0.812970985688,0.83039676197,0.902147463136,0.75175462829,0.664274429126,0.6733272401,0.393268932053,0.681223886617,0.756806720776,0.660171066399,0.721304923997,0.593643031785,0.902147463136,0.830168572141,0.540734679898,0.81079972037,0.785940047636,0.0482817915581,0.914995905498,0.357654575355,0.349056603774,0.3,0.177620730271,0.305365296804,0.136620757501,0.207006369427,0.108308056521,0.258820928111,0.25417061362,0.253437491753,0.218970269018,0.570414036684,0.520296027463,0.282909506859,0.33185300322,0.335319095,0.21568627451,0.333204034135,0.307412460209,0.294578706728,0.270062805304,0.353975535168,0.310344827586,0.230610134436,0.238896075895,0.240253314862,0.203056203056,0.238902847571,0.392494929006,0.285854893138,0.292088872362,0.305923836389,0.251509922347,0.315117104329,0.331537598204,0.236607477336,0.237492987914,0.232806028923,0.152880325344,0.169982944855,0.192125205931,0.199537123913,0.247085761865,0.26045827202,0.0875,0.167832167832,0.119565217391,0.359246171967,0.010982163055,0.0177718556097,0.294855442177,0.185628742515,0.0533333333333,0.257933279089,0.280181437544,0.223484817044,0.401862634217,0.400383545478,0.625720707515,0.625,0.0432283858071,0.044438801422,0.128301886792,0.229312063809,0.230769230769,0.477370689655,0.406003159558,0.286216821234,0.284605536886,0.265472246083,0.250479877372,0.164031066972,0.136620757501,0.126867679565,0.186847599165,0.0477402928071,0.0430028689831,0.188034188034,0.34404536862,0.12040475143,0.0901360797307,0.0831581882193,0.128855735185,0.0897078133864
0.181333373035,0.202296120348,0.0766989827594,0.803827751196,0.0830819851933,0.0731333536964,0.209050207388,0.106029087665,0.171987662334,0.171876195884,0.175308723234,0.157080641913,0.179033276733,0.19492975667,0.106544669142,0.252083088839,0.155662686261,0.182213510757,0.218154763332,0.267481662592,0.175308723234,0.232630867374,0.134386862911,0.191573113829,0.193059317084,0.0179746903463,0.209549381925,0.266941383286,1.0,1.0,0.119670200236,0.190068493151,0.104033448106,0.210191082803,0.123918029148,0.105436555098,0.0553625934112,0.0548415190942,0.0295472468151,0.206563426022,0.176566975198,0.117536087138,0.175363606084,0.180112808163,0.127450980392,0.1797258857,0.145975443383,0.135205747877,0.133984647592,0.179281345566,0.0459770114943,0.112926577042,0.125916343251,0.153374233129,0.117845117845,0.146984924623,0.217038539554,0.184898762655,0.185971925258,0.200846262341,0.157031924072,0.167494677076,0.248035914703,0.13186483854,0.13231169361,0.133478172313,0.171516563351,0.0943718021603,0.117199341021,0.118721461187,0.212739383847,0.202438511667,0.0625,0.111888111888,0.0869565217391,0.0647820965842,0.00429811045333,0.00625306030711,0.221726190476,0.138473053892,0.139090909091,0.145646867372,0.223307745987,0.089304835028,0.201238498164,0.200068841496,0.427538356298,0.428571428571,0.000499750124938,0.0,0.109433962264,0.118644067797,0.117159763314,0.200969827586,0.165876777251,0.193875919412,0.193150904145,0.182230948583,0.0644347573915,0.108135981665,0.104033448106,0.0968179201875,0.0219206680585,0.0105028644176,0.011189034109,0.113740959895,0.0846569095551,0.137157941047,0.103962463179,0.0836222915042,0.192745444446,0.154798675302
0.182241543592,0.276326207443,0.0846984096662,0.22966507177,0.0455717027694,0.0921500268582,0.252624170822,0.139218292929,0.233427761089,0.231544454392,0.216595071656,0.226359981378,0.262905632372,0.238507721405,0.125582496265,0.291834109447,0.223777704418,0.269979064757,0.268461649657,0.334474327628,0.216595071656,0.23775579518,0.160555433986,0.29000286105,0.287297147926,0.023119911873,0.22426173618,0.283934748502,0.584905660377,0.527272727273,0.18445229682,0.224885844749,0.0996884735202,0.229299363057,0.1242139528,0.133661313949,0.0646642458689,0.0648043070914,0.0853057784498,0.278705511433,0.228696788522,0.15797246195,0.187354280004,0.187971354332,0.156862745098,0.187031290406,0.18508412915,0.191378184193,0.0697836706211,0.261467889908,0.149425287356,0.158841778697,0.184346701164,0.169008509796,0.174048174048,0.20121440536,0.354969574037,0.245219347582,0.249279538905,0.269957686883,0.234685073339,0.270404542229,0.334904601571,0.177343223196,0.205696363915,0.223776223776,0.0987878548585,0.126719727118,0.136760021966,0.177644336023,0.244587843464,0.247424847593,0.125,0.198135198135,0.108695652174,0.0,0.0245594116668,0.0410663113366,0.166241496599,0.181886227545,0.134545454545,0.209926769731,0.251570132589,0.138894653109,0.315384185761,0.315813875074,0.504641845011,0.503571428571,0.0144927536232,0.01218892839,0.256603773585,0.135593220339,0.131360946746,0.213900862069,0.191153238547,0.291813239527,0.290366458633,0.257127663926,0.287479918801,0.114884135472,0.0996884735202,0.115798687388,0.00208768267223,0.00604710375557,0.00599298693019,0.294214332676,0.113889267827,0.121073471183,0.103895495669,0.11081793586,0.183748951138,0.167708987508
0.166543592187,0.00257323832146,0.084602894121,0.0,0.961648843799,0.123663671887,0.358174984652,0.317613215616,0.26816308663,0.284021836059,0.311605747992,0.303232346134,0.154882418129,0.147900472651,0.319157654926,0.135818930501,0.313273077054,0.164393869807,0.17820416293,0.41564792176,0.311605747992,0.132960989184,0.247385997127,0.206205591384,0.195995767421,0.511096482979,0.128405818093,0.330094701624,0.603773584906,0.581818181818,0.0,0.00399543378995,0.0,0.140127388535,0.0,0.0598546198281,0.102804967898,0.0999841651052,0.0717440496031,0.0646738821389,0.0145576176966,0.0752131936797,0.174031308982,0.180366309652,0.235294117647,0.179337988104,0.0945884492951,0.0,0.47522679693,0.165902140673,0.149425287356,0.0783867631851,0.0975995400316,0.0833168414803,0.0919450919451,0.10175879397,0.217038539554,0.0471034870641,0.0482011713303,0.0535966149506,0.108283002588,0.0901348474095,0.0951739618406,0.0583651756949,0.0791983272987,0.0342182089755,0.0,0.0735645252985,0.0546622734761,0.0552949271283,0.0639050791007,0.0651671221358,0.1125,0.170163170163,0.163043478261,0.54652532391,0.0497462535586,0.0653962545854,0.0301870748299,0.0,0.0318181818182,0.115541090317,0.00244242847174,0.162230061562,0.189593543613,0.189749641743,0.852242744063,0.853571428571,0.0702148925537,0.0589131538852,0.0,0.0348953140578,0.0307692307692,0.178879310345,0.165876777251,0.110249440358,0.108737397984,0.0813596760339,0.155802488458,0.0367838044309,0.0,0.0,0.120041753653,0.0986632718014,0.0990117947083,0.285009861933,0.160583088106,0.0408446986362,0.102291339306,0.111649165624,0.0334425820512,0.211051188952
1.0,0.516825019794,1.0,0.588516746411,0.345050726625,1.0,0.835661770211,1.0,1.0,1.0,1.0,1.0,0.971571346499,0.851614640629,1.0,1.0,1.0,1.0,0.957710043633,1.0,1.0,1.0,0.735793048988,1.0,1.0,0.292941777049,1.0,0.823337050829,0.556603773585,0.490909090909,0.180447585395,0.397260273973,0.176640979396,0.133757961783,0.121032773544,0.735783975015,1.0,1.0,0.146265267243,0.947672030884,0.908862542234,0.696791211043,0.850394137893,0.905887572089,0.362745098039,0.911494698733,0.442019099591,0.293272370999,0.842986741103,0.731651376147,0.379310344828,0.522440537746,0.557855397441,0.593113002177,0.663040663041,0.565954773869,0.556795131846,0.452474690664,0.491215022776,0.579971791255,0.544866264021,0.662881476224,0.443995510662,0.431707499813,0.441480952624,0.42874601127,0.128755873179,0.454633314383,0.445788028556,0.371114030149,0.490008326395,0.503258356107,0.4125,0.519813519814,0.369565217391,0.657243816254,1.0,1.0,0.24574829932,0.291916167665,0.149696969697,0.577705451587,0.602581995813,0.694315556478,0.722029070498,0.723102644075,0.814130753445,0.814285714286,0.649925037481,0.610716099543,0.437735849057,0.48554336989,0.502958579882,0.669181034483,0.545023696682,0.713303485769,0.71251400224,0.637787867632,0.56791242986,0.236949325185,0.176640979396,0.222095070722,0.269311064718,0.241565881604,0.237456168314,1.0,0.330656948532,0.198609766828,0.279081188257,0.309522833708,0.236691576369,0.890740688531
