generation,train,validation,test,validmse,testAvrMse
0,0.784929065266,0.606347592523,0.309455850727,0.0282955922346,0.064328672782
1,0.794448569015,0.620654947389,0.295244304155,0.0270306041847,0.0656525706532
2,0.810928049993,0.652071059729,0.376657620086,0.0249588058634,0.058068391472
3,0.82513241911,0.687997395851,0.444885232497,0.022287316551,0.0517125462185
4,0.826088338432,0.687850955477,0.439631036341,0.0222962678343,0.0522020087179
5,0.821129955562,0.689878767656,0.439642132668,0.0221608334999,0.052200975023
6,0.823847851523,0.696207446848,0.422576185766,0.0217106672189,0.0537907788249
7,0.823847851523,0.696207446848,0.422576185766,0.0217106672189,0.0537907788249
8,0.822528384106,0.684100788665,0.430181531493,0.0223647563382,0.0530822914717
9,0.826838740272,0.693266219414,0.446616461992,0.021915770294,0.0515512709462
10,0.824002639225,0.693716925124,0.449096683025,0.0218460823268,0.0513202222473
11,0.821932791101,0.684073765471,0.451660605734,0.0225445426256,0.0510813761935
12,0.822677516064,0.696383618445,0.451935183375,0.0216175264366,0.0510557975028
13,0.816034907412,0.654315978261,0.456429625201,0.0244480537369,0.050637111054
14,0.816779632375,0.666625831234,0.456704202842,0.0235210375479,0.0506115323633
15,0.801178382386,0.620364402926,0.457087165618,0.0267193903838,0.0505758568933
16,0.819356211738,0.675349798353,0.454182404288,0.0230327900867,0.0508464542784
17,0.824509370463,0.692797732589,0.44913880718,0.0220562951645,0.0513162981086
18,0.819138573001,0.685279944659,0.427708833118,0.0223132012402,0.0533126393862
19,0.815216515489,0.656063479046,0.459310249708,0.0244297106843,0.0503687621708
20,0.824692672979,0.705836041907,0.456390256841,0.0209991040875,0.0506407784725
21,0.825180428466,0.719164939322,0.452568586969,0.0201839197337,0.0509967918438
22,0.823855305305,0.721831632642,0.45540708732,0.0199553638435,0.0507323670993
23,0.828757656068,0.721736344038,0.453214968557,0.01995124675,0.0509365772005
24,0.833660006832,0.721641055435,0.451022849794,0.0199471296566,0.0511407873017
25,0.833660006832,0.721641055435,0.451022849794,0.0199471296566,0.0511407873017,√
26,0.823855305305,0.721831632642,0.45540708732,0.0199553638435,0.0507323670993
27,0.823949582661,0.715373789207,0.468411054502,0.0205066494055,0.0495209630919
28,0.823855305305,0.721831632642,0.45540708732,0.0199553638435,0.0507323670993
29,0.822267178102,0.718810579683,0.45129759802,0.0202008156859,0.0511151927199
30,0.82312052729,0.71851084818,0.450475384223,0.0201949017732,0.0511917872756
31,0.810438113124,0.680220196756,0.454225801853,0.0227798114776,0.0508424115133
32,0.822385749275,0.715190063719,0.445543681126,0.020434439703,0.0516512074518
33,0.822419877015,0.714211448506,0.448129754807,0.0204850654057,0.0514102978913
34,0.822454004756,0.713232833294,0.450715828487,0.0205356911085,0.0511693883307
35,0.822159224191,0.713708233282,0.440230165721,0.0205206143717,0.0521461959246
36,0.820916193245,0.708548494795,0.435680274933,0.0209135155625,0.0525700478044
37,0.82018141523,0.705227710333,0.430748571836,0.0211530534923,0.0530294679807
38,0.82018141523,0.705227710333,0.430748571836,0.0211530534923,0.0530294679807
39,0.82018141523,0.705227710333,0.430748571836,0.0211530534923,0.0530294679807
40,0.82018141523,0.705227710333,0.430748571836,0.0211530534923,0.0530294679807
41,0.815740993666,0.707186717262,0.396696960562,0.0210250898494,0.0562015967456
42,0.811300572102,0.70914572419,0.362645349287,0.0208971262066,0.0593737255105
43,0.802419728974,0.713063738046,0.294542126739,0.0206411989209,0.0657179830403
44,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
45,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
46,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
47,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
48,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
49,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
50,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
51,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
52,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
53,0.795467911428,0.707963225625,0.27243959601,0.0211217523755,0.0677769773398
54,0.795467911428,0.707963225625,0.27243959601,0.0211217523755,0.0677769773398
55,0.795467911428,0.707963225625,0.27243959601,0.0211217523755,0.0677769773398
56,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
57,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
58,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
59,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
60,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
61,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
62,0.781104262126,0.680519639278,0.280344002404,0.0230501905079,0.0670406305429
63,0.781104262126,0.680519639278,0.280344002404,0.0230501905079,0.0670406305429
64,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
65,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
66,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
67,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
68,0.7979516833,0.707258096811,0.273089095413,0.0210074693321,0.0677164722518
69,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
70,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
71,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
72,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
73,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
74,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
75,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
76,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
77,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
78,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
79,0.79797930741,0.715022744974,0.260490515465,0.0205132352781,0.0688901118052
80,0.783014318873,0.682601569187,0.278117096545,0.0227992362546,0.0672480812881
81,0.78618490315,0.68016991697,0.293648208218,0.0228629232883,0.0658012573568
82,0.783014318873,0.682601569187,0.278117096545,0.0227992362546,0.0672480812881
