generation,train,validation,test,valid_mse,test_mse
0,0.634704831509,0.438999928317,0.191352237416,0.0563047818827,0.0753307914779
1,0.653959910685,0.50631585906,0.0896078774847,0.0290575017077,0.0848089394636
2,0.670839999221,0.526801472582,-0.039551592744,0.03499058244,0.0968409830423
3,0.665395417792,0.538022604528,0.0547522106154,0.0319766991173,0.0880559712298
4,0.670120307432,0.535747235496,-0.066409659502,0.0348260330519,0.0993429864114
5,0.671692718849,0.535161912027,-0.0373484092353,0.0348260330519,0.0966357421881
6,0.679139366453,0.554889835922,-0.0951002605273,0.033421488317,0.10201570225
7,0.673910665195,0.558453774808,-0.0455861418835,0.0320709553457,0.0974031404907
8,0.66942775623,0.568700155842,0.010525598874,0.0320709553457,0.0921759673777
9,0.656357827875,0.556055288409,0.082436909465,0.0320709553457,0.0854769617121
10,0.643287899521,0.543410420976,0.154348220056,0.0320709553457,0.0787779560465
11,0.630217971166,0.530765553544,0.226259530647,0.0366177883787,0.0720789503808
12,0.630217971166,0.530765553544,0.226259530647,0.0320709553457,0.0720789503808
13,0.645276733641,0.519098007035,0.112832747271,0.0366177883787,0.082645391991
14,0.641212962829,0.503183160858,0.138366480412,0.0386739353349,0.0802667589002
15,0.618714915293,0.510459766332,0.268647453968,0.0391483643003,0.0681302400021
16,0.622045689989,0.531800912922,0.293967004561,0.0366177883787,0.0657715594068
17,0.629467126018,0.545143865459,0.303298949069,0.0366177883787,0.0649022281623
18,0.613873408811,0.532836272301,0.361674478475,0.0316980189508,0.0594641684327
19,0.623668703165,0.560196725923,0.353266805121,0.0366177883787,0.0602473978158
20,0.628566350341,0.573876952734,0.349062968444,0.0316980189508,0.0606390125074
21,0.628566350341,0.573876952734,0.349062968444,0.0316980189508,0.0606390125074
22,0.628566350341,0.573876952734,0.349062968444,0.0316980189508,0.0606390125074
23,0.628566350341,0.573876952734,0.349062968444,0.0316980189508,0.0606390125074
24,0.628566350341,0.573876952734,0.349062968444,0.0316980189508,0.0606390125074
25,0.634559934248,0.568292681842,0.338200414828,0.0316980189508,0.061650929932
26,0.628566350341,0.573876952734,0.349062968444,0.0316980189508,0.0606390125074
27,0.630608469915,0.575059601908,0.339137616499,0.0316980189508,0.061563623509
28,0.632650589489,0.576242251082,0.329212264554,0.0316980189508,0.0624882345106
29,0.632650589489,0.576242251082,0.329212264554,0.0310137572639,0.0624882345106
30,0.632650589489,0.576242251082,0.329212264554,0.0316980189508,0.0624882345106
31,0.634692709062,0.577424900256,0.319286912609,0.0310137572639,0.0634128455122
32,0.632650589489,0.576242251082,0.329212264554,0.0310137572639,0.0624882345106
33,0.632650589489,0.576242251082,0.329212264554,0.0316980189508,0.0624882345106
34,0.634692709062,0.577424900256,0.319286912609,0.0316980189508,0.0634128455122
35,0.634692709062,0.577424900256,0.319286912609,0.0310137572639,0.0634128455122
36,0.632650589489,0.576242251082,0.329212264554,0.0316980189508,0.0624882345106
37,0.634730591371,0.578947332179,0.356074076906,0.0310137572639,0.0599858822151
38,0.636810593253,0.581652413276,0.382935889257,0.0316980189508,0.0574835299196
39,0.640932714708,0.585540143547,0.399872349663,0.0307686550558,0.0559057886258
40,0.636810593253,0.581652413276,0.382935889257,0.0307686550558,0.0574835299196
41,0.639005329501,0.59214440827,0.353613494226,0.0270483027741,0.0602151014739
42,0.628566350341,0.573876952734,0.349062968444,0.0316980189508,0.0606390125074
43,0.628566350341,0.573876952734,0.349062968444,0.0316980189508,0.0606390125074
44,0.628566350341,0.573876952734,0.349062968444,0.0316980189508,0.0606390125074
45,0.622829674835,0.54776856562,0.340779152826,0.0316980189508,0.0614107037379
46,0.622829674835,0.54776856562,0.340779152826,0.0316980189508,0.0614107037379
47,0.622829674835,0.54776856562,0.340779152826,0.0316980189508,0.0614107037379
48,0.622829674835,0.54776856562,0.340779152826,0.0316980189508,0.0614107037379
49,0.622829674835,0.54776856562,0.340779152826,0.0316980189508,0.0614107037379
50,0.613657313045,0.491443329454,0.343398278133,0.0316980189508,0.0611667152036
51,0.621728690412,0.514334950379,0.306731322246,0.0424910997411,0.0645824803066
52,0.621806760576,0.533336653737,0.292550775938,0.0410241397526,0.0659034903018
53,0.626520521824,0.545013128969,0.25260621467,0.0316980189508,0.0696245856351
54,0.624474693306,0.516149305203,0.156149460895,0.0368454519815,0.0786101587628
55,0.625497607565,0.530581217086,0.204377837782,0.0368454519815,0.0741173721989
56,0.626520521824,0.545013128969,0.25260621467,0.0316980189508,0.0696245856351
57,0.627543436083,0.559445040852,0.300834591557,0.0316980189508,0.0651317990712
58,0.626520521824,0.545013128969,0.25260621467,0.0316980189508,0.0696245856351
59,0.629150023174,0.551795037464,0.266742524805,0.0316980189508,0.0683076965267
60,0.631779524524,0.55857694596,0.28087883494,0.0345142853311,0.0669908074183
61,0.641165276377,0.574679899232,0.31251292311,0.0316980189508,0.064043886633
62,0.630172937433,0.566226949347,0.314970901692,0.0316980189508,0.0638149099628
63,0.636624026032,0.564790505744,0.293250686458,0.0316980189508,0.0658382890908
64,0.642192989554,0.572607645114,0.295862594686,0.0316980189508,0.0655949728743
65,0.646675260056,0.578019415104,0.313114417848,0.0293706460635,0.0639878534913
66,0.636986257039,0.565592295537,0.288370714813,0.0345142853311,0.0662928901463
67,0.632827647062,0.554191867621,0.288989729175,0.0345142853311,0.0662352249378
68,0.628566350341,0.573876952734,0.349062968444,0.0316980189508,0.0606390125074
69,0.634646149318,0.572413610393,0.289344497928,0.0307688094049,0.0662021759242
70,0.628566350341,0.573876952734,0.349062968444,0.0316980189508,0.0606390125074
71,0.628566350341,0.573876952734,0.349062968444,0.0316980189508,0.0606390125074
72,0.628566350341,0.573876952734,0.349062968444,0.0316980189508,0.0606390125074
73,0.631820406517,0.571405804046,0.332584407542,0.0316980189508,0.0621740974883
74,0.628566350341,0.573876952734,0.349062968444,0.0316980189508,0.0606390125074
75,0.633773082857,0.580892302312,0.356554848317,0.0316980189508,0.0599410952354
76,0.628566350341,0.573876952734,0.349062968444,0.0316980189508,0.0606390125074
77,0.628566350341,0.573876952734,0.349062968444,0.0316980189508,0.0606390125074
78,0.632688471797,0.577764683005,0.365999428851,0.0316980189508,0.0590612712135
79,0.632688471797,0.577764683005,0.365999428851,0.0316980189508,0.0590612712135
80,0.645633232399,0.586785573237,0.306072925185,0.0316980189508,0.0646438142694
81,0.654455871546,0.591918733197,0.229209961113,0.0272708201505,0.0718040986191
82,0.654455871546,0.591918733197,0.229209961113,0.0272708201505,0.0718040986191
83,0.652207180974,0.581525209313,0.234964772049,0.0316980189508,0.0712680006013
84,0.673875226824,0.588590754151,0.226561303377,0.0278699973275,0.0720508382909
85,0.683730120257,0.587931608738,0.111925754773,0.0316980189508,0.0827298842334
86,0.666326298962,0.559364790258,0.151465119765,0.0323692921628,0.0790465355651
87,0.712776802913,0.607348048274,-0.013077796046,0.0272708201505,0.0943747769251
88,0.696068639824,0.548133513336,0.0407888272517,0.0313460462342,0.0893567510862
89,0.684464098915,0.5585250118,0.0943562525314,0.0272708201505,0.084366597486
90,0.680394505654,0.600764972066,0.0528268843142,0.0272708201505,0.0882353278803
91,0.686842329504,0.609873187979,0.0511286672147,0.0272708201505,0.0883935278335
92,0.680048534652,0.590176113456,0.126918366476,0.0272708201505,0.081333225072
93,0.681636801508,0.577484378265,0.170018368512,0.0345127002872,0.0773181799358
94,0.68843059636,0.597181452788,0.0942286692502,0.0272708201505,0.0843784826973
95,0.682187658737,0.594773282195,0.0997688881345,0.0272708201505,0.083862375323
96,0.675393863885,0.575076207672,0.175558587396,0.0272708201505,0.0768020725615
97,0.654110980938,0.530248644458,0.373709732511,0.0345127002872,0.058343006347
98,0.648900782781,0.540001257638,0.319040518598,0.0345127002872,0.0634357987148
99,0.654110980938,0.530248644458,0.373709732511,0.0345127002872,0.058343006347
100,0.648900782781,0.540001257638,0.319040518598,0.0345127002872,0.0634357987148
