1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,n
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2
0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,3
1,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,4
2,0,0,5,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,5
2,0,0,6,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,6
2,0,0,7,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,7
2,0,0,8,8,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,14,0,0,6,0,0,0,8
2,0,0,9,9,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,16,0,0,6,0,0,0,9
2,0,0,10,10,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,18,0,0,7,0,0,0,10
2,0,0,11,11,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,20,0,1,7,0,0,0,11
2,0,0,12,12,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,23,0,1,7,0,0,0,12
2,0,0,13,13,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,25,0,1,7,0,0,0,13
2,0,0,14,14,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,27,0,1,7,0,0,0,14
3,0,0,15,15,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,29,0,1,7,0,0,0,15
4,0,0,16,16,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,31,0,1,7,0,0,0,16
4,0,0,17,17,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,33,0,1,8,0,0,0,17
4,0,0,17,18,0,0,0,0,0,0,0,5,0,1,2,0,0,0,0,0,34,0,1,9,0,0,0,18
4,0,0,18,19,0,0,0,0,0,0,0,5,0,1,3,0,0,0,0,0,36,0,1,9,0,0,0,19
4,0,0,19,20,0,0,0,0,0,0,0,5,0,1,3,0,0,0,0,0,38,0,2,9,0,0,0,20
