r2_10_features,mse_10_features
0.611121451211,0.0362265626945
0.592600220105,0.0379519356727
0.5751701429,0.0395756605776
0.553641879775,0.0415811581197
0.589565080636,0.0382346786283
0.536251032903,0.0432012284642
0.53524287805,0.043295144637
0.568572027833,0.0401903178526
0.569734686685,0.0400820086288
0.566542232199,0.0403794065
0.59946048942,0.0373128570266
0.569690397571,0.0400861344474
0.518087708964,0.0448932600651
0.581340575349,0.0390008447162
0.60835647054,0.0364841386034
0.617621796096,0.035621013347
0.600355421934,0.0372294882501
0.559651837887,0.0410212914852
0.563236201498,0.0406873847334
0.315931313904,0.0637254413271
0.539667353539,0.042882976007
0.56143588146,0.0408550962386
0.590199512019,0.0381755772242
0.574480855086,0.0396398722145
