r2_5_features,mse_5_features
0.463393209035,0.0499884079895
0.420045041625,0.0540265713422
0.477732913497,0.0486525713785
0.529323433297,0.0438465793643
0.172210556622,0.0771139633745
0.479802355987,0.0484597893689
0.45091949502,0.0511504154703
0.576627982579,0.0394398533424
0.132413168467,0.0808213485762
0.500609727695,0.0465214475446
0.482099734452,0.0482457736428
0.536273517042,0.0431991339207
0.435771637811,0.0525615367588
0.457509811368,0.0505364846965
0.46152202209,0.0501627212073
0.486918583759,0.0477968665301
0.461034967262,0.0502080935281
0.445712490881,0.0516354817267
0.330708815192,0.0623488210982
0.370842691424,0.0586100898464
0.518642351306,0.0448415915283
0.534638480048,0.0433514482367
0.456453363071,0.0506348997172
0.505138725219,0.0460995420082
0.396010371256,0.0562655569989
