pcode,odds
11,0.184615384615
12,0.122340425532
13,0.184588767634
14,0.140981340705
15,0.0540003612064
21,0.0948575399583
22,0.096194955109
23,0.0875576036866
31,0.0425531914894
32,0.247715450583
33,0.266406757635
34,0.234545454545
35,0.190683879972
36,0.264787791021
37,0.180629229925
41,0.260937305247
42,0.203750981932
43,0.247947190469
44,0.180586907449
45,0.151510728361
46,0.0752797558494
50,0.220088242928
51,0.266033972073
52,0.201869751228
53,0.210819596007
54,0.138747884941
61,0.200942392461
62,0.170608958228
63,0.197540983607
64,0.0719291774253
65,0.05625
