pcode,odds
11,0.09
12,0.157608695652
13,0.179340183883
14,0.127028781649
15,0.0567349239151
21,0.0760908763072
22,0.0901353120908
23,0.0929209266209
31,0.102272727273
32,0.248927038627
33,0.272501551831
34,0.231699902724
35,0.185568917669
36,0.247446207346
37,0.189088539242
41,0.242538881883
42,0.20790852787
43,0.233156881617
44,0.157917856358
45,0.139473297043
46,0.0660948536831
50,0.208945925741
51,0.260511178319
52,0.190590494479
53,0.209743220542
54,0.103926096998
61,0.166666666667
62,0.169779286927
63,0.155410903173
64,0.0879572544184
65,0.0808903365907
