generation,train,validation,test,validmse,testmse
0,0.832337615241,0.680968929056,0.648333687685,0.0230860648113,0.0327600011631
1,0.808150345035,0.638116491122,0.648333687685,0.0269683578872,0.0327600011631
2,0.82837615302,0.696630174197,0.558580878727,0.022970096536,0.0411210582872
3,0.833491502753,0.707512525023,0.571618268139,0.0208251551569,0.0399065407819
4,0.841792569756,0.728718964413,0.467715326433,0.0196085193796,0.0495857746805
5,0.83913522794,0.657988067232,0.467715326433,0.0241081125953,0.0495857746805
6,0.849535455047,0.754794563252,0.504835904949,0.0179555670428,0.0461277516832
7,0.83969888833,0.719464353839,0.504835904949,0.0209069331952,0.0461277516832
8,0.875501280612,0.767176195898,0.429952478401,0.017162425515,0.053103629255
9,0.858414057796,0.721452000039,0.429952478401,0.0200812981644,0.053103629255
10,0.882728029997,0.794460692904,0.437492680659,0.0149715950467,0.0524012104388
11,0.872244420373,0.777517323747,0.437492680659,0.015791747545,0.0524012104388
12,0.88138851054,0.815084589154,0.485394518089,0.0134761411314,0.0479388431465
13,0.848833619771,0.745693379404,0.485394518089,0.0187109773286,0.0479388431465
14,0.863578686075,0.73218135626,0.485394518089,0.0192657556838,0.0479388431465
15,0.861391386349,0.787977691835,0.47705595173,0.0160198181931,0.0487156347642
16,0.838045689231,0.643937717318,0.47705595173,0.026614604482,0.0487156347642
17,0.858648287126,0.773477839806,0.483468294194,0.0170556260463,0.0481182834137
18,0.841298419874,0.693939934927,0.483468294194,0.0220407165773,0.0481182834137
19,0.863140012527,0.773466922016,0.443022349202,0.0170075707685,0.0518860858973
20,0.836056668163,0.672665570211,0.443022349202,0.0243137497861,0.0518860858973
21,0.862255025708,0.760082581604,0.476825192534,0.0178936441642,0.0487371314821
22,0.865717335786,0.76334455216,0.469177091166,0.0174864593901,0.0494496018011
23,0.861620234514,0.747319353527,0.469177091166,0.0186356576019,0.0494496018011
24,0.852359469801,0.733615396724,0.469177091166,0.0191967685089,0.0494496018011
25,0.866010869344,0.721739355687,0.469177091166,0.0200489454821,0.0494496018011
26,0.856442373025,0.708369452663,0.469177091166,0.0209553551252,0.0494496018011
27,0.841522971016,0.706178784193,0.469177091166,0.0215410565117,0.0494496018011
28,0.84411109631,0.728410039807,0.543039977593,0.0197503942176,0.0425687941703
29,0.842262572172,0.725095853064,0.543039977593,0.0201479749009,0.0425687941703
30,0.849149753669,0.696627717487,0.543039977593,0.0214823528938,0.0425687941703
31,0.840614819124,0.70753753665,0.542543665862,0.0210228817922,0.0426150288317
32,0.848321375926,0.720296276545,0.539315453008,0.0200003211014,0.0429157578272
33,0.848321375926,0.720296276545,0.539315453008,0.0200003211014,0.0429157578272
34,0.855610670128,0.737813894013,0.543065562917,0.0191335862032,0.0425664107312
35,0.844480564668,0.74291497876,0.560859711782,0.0186844928376,0.0409087701864
36,0.843458085868,0.675491613524,0.560859711782,0.0232035587213,0.0409087701864
37,0.833227112343,0.7339076921,0.478341512153,0.0193745522867,0.0485958764606
38,0.838134866354,0.690050325896,0.478341512153,0.0225519859961,0.0485958764606
39,0.840621463379,0.721854551284,0.488393817946,0.020085984716,0.0476594388835
40,0.841695600457,0.654948499544,0.488393817946,0.0250563287237,0.0476594388835
41,0.791102125679,0.596876943285,0.488393817946,0.0289258997023,0.0476594388835
42,0.838530584151,0.694497460984,0.534971677435,0.0221688338553,0.0433204087358
43,0.811103984408,0.600082836457,0.534971677435,0.0289525251424,0.0433204087358
44,0.840934630122,0.703665059654,0.369736986949,0.0217530759112,0.0587130934001
45,0.869032945227,0.761370881702,0.467746748909,0.0177218224754,0.0495828474728
46,0.849150915481,0.700852822286,0.467746748909,0.0214933496039,0.0495828474728
47,0.818424975171,0.621324376214,0.467746748909,0.0268110709224,0.0495828474728
48,0.854391805546,0.721814332005,0.455909700706,0.0202454634351,0.0506855453978
49,0.842749578591,0.693959096403,0.455909700706,0.0221193697954,0.0506855453978
50,0.854391805546,0.721814332005,0.455909700706,0.0202454634351,0.0506855453978
51,0.844504481045,0.68254721982,0.455909700706,0.0226048368956,0.0506855453978
52,0.840473053131,0.669377658962,0.455909700706,0.0236590137869,0.0506855453978
53,0.850162635021,0.709690374947,0.479302892865,0.0208987355046,0.0485063176029
54,0.820066443914,0.644274520421,0.479302892865,0.0260355090514,0.0485063176029
55,0.771300920882,0.557825739896,0.479302892865,0.0321566607118,0.0485063176029
56,0.853160679217,0.705583844979,0.471406961934,0.0216764516525,0.0492418748554
57,0.832736876571,0.718647002364,0.584044338954,0.0203337329651,0.0387489715747
58,0.813075655512,0.669317222419,0.584044338954,0.023743085243,0.0387489715747
59,0.832372515619,0.699269041001,0.571918611108,0.0218015946738,0.0398785618836
60,0.841254961902,0.746544251357,0.611815925889,0.0187501865119,0.0361618678675
61,0.841932142552,0.716061706607,0.611815925889,0.020900474201,0.0361618678675
62,0.841740091703,0.747122862868,0.568047354401,0.018205194032,0.0402391945907
63,0.837156160564,0.750075181869,0.608931195719,0.0183428465884,0.03643059922
64,0.825367809573,0.733058349524,0.608931195719,0.019316724898,0.03643059922
65,0.820661944356,0.699667382813,0.608931195719,0.0217795754503,0.03643059922
66,0.809938404457,0.64390020261,0.608931195719,0.0265906360407,0.03643059922
67,0.821694004498,0.68601483457,0.434165075308,0.0227523061147,0.052711198491
68,0.821694004498,0.68601483457,0.434165075308,0.0227523061147,0.052711198491
69,0.856174435227,0.803571810357,0.615086895869,0.0143566321548,0.035857155768
70,0.861230227422,0.777618999595,0.615086895869,0.0157435352735,0.035857155768
71,0.838145117946,0.744368739235,0.615086895869,0.0181639547898,0.035857155768
72,0.857847303348,0.786073987841,0.606346542524,0.0156465863179,0.0366713764531
73,0.865464398217,0.81306730281,0.599238195028,0.0137056714686,0.0373335651931
74,0.852916237041,0.740493569771,0.599238195028,0.0190160423977,0.0373335651931
75,0.873873946314,0.810519023037,0.585957218339,0.0141229266035,0.0385707744353
76,0.81565734066,0.619491915503,0.585957218339,0.0271297858011,0.0385707744353
77,0.881366664141,0.799371262321,0.54255834657,0.0144976703309,0.0426136612284
78,0.880259293841,0.793591886634,0.54255834657,0.015035995956,0.0426136612284
79,0.86397475763,0.716438182733,0.54255834657,0.0208354331598,0.0426136612284
80,0.868998087185,0.771738063105,0.437423414577,0.0171490252282,0.0524076630243
