name,cluster
建筑业城镇单位就业人员(万人),2
城镇单位就业人员平均工资(元),2
建筑业城镇单位就业人员工资总额(亿元),2
办公楼销售额(亿元),2
建筑业企业从业人员(万人),2
内资建筑业企业从业人员(万人),2
国内外观设计专利申请受理量(项),2
国内外观设计专利申请授权量(项),2
家庭儿童收养登记总数(件),2
中国公民收养登记数(件),2
福利彩票提取公益金(亿元),2
社会组织女性职工人数(人),2
公共图书馆参观展览人次(万人次),2
城镇居民基本医疗保险年末参保人数(万人),2
城镇居民医疗保险基金收入(万元),2
城镇居民医疗保险基金支出(万元),2
城镇居民医疗保险基金累计结余(万元),2
