generation,train,validation,test,validmse,testmse
0,0.669673636805,0.631256129297,0.48427932896,0.0325608887641,0.0480427302573
1,0.669673636805,0.631256129297,0.48427932896,0.0325608887641,0.0480427302573
2,0.669673636805,0.631256129297,0.48427932896,0.0325608887641,0.0480427302573
3,0.737689172359,0.722455767146,0.609144297075,0.0244096979661,0.0364107474446
4,0.675958154786,0.64012712407,0.609144297075,0.0316092714487,0.0364107474446
5,0.741176104746,0.743838342425,0.507695426977,0.0224885310119,0.0458613686329
6,0.753054243933,0.727100166621,0.507695426977,0.0236826934722,0.0458613686329
7,0.689976247538,0.643744177715,0.507695426977,0.0313476882783,0.0458613686329
8,0.756799170195,0.755362359132,0.592701204225,0.0216163235463,0.037942528346
9,0.762507459932,0.759294588394,0.607478003263,0.021243507096,0.0365659735361
10,0.795470340047,0.783114390273,0.647334424132,0.0191861920882,0.0328530890536
11,0.624931719238,0.551765054483,0.647334424132,0.0397899534533,0.0328530890536
12,0.686151149053,0.635736482441,0.514010385066,0.0321559913164,0.0452730892695
13,0.795470340047,0.783114390273,0.647334424132,0.0191861920882,0.0328530890536
14,0.76065644092,0.744265831736,0.647334424132,0.0224030731765,0.0328530890536
15,0.740426004253,0.714436387292,0.647334424132,0.0251101539391,0.0328530890536
16,0.74385983935,0.739400564454,0.612776580462,0.0229262067516,0.0360723766543
17,0.735286755889,0.703656356878,0.612776580462,0.0259686086799,0.0360723766543
18,0.757508390817,0.741999915802,0.620984617268,0.0227514592145,0.0353077447123
19,0.652547340116,0.614913670842,0.620984617268,0.0339087162592,0.0353077447123
20,0.751852211247,0.737899700878,0.610187101775,0.0230990137404,0.0363136034134
21,0.65772251008,0.641299039164,0.610187101775,0.0316767055807,0.0363136034134
22,0.602032509333,0.566510173822,0.610187101775,0.0381924452619,0.0363136034134
23,0.733552226249,0.698471333445,0.586215219624,0.0264921890308,0.0385467399398
24,0.766358991336,0.724611107417,0.608484024898,0.0242595792114,0.0364722560864
25,0.646429095714,0.590901013206,0.608484024898,0.0357050391551,0.0364722560864
26,0.619610800289,0.549409939419,0.608484024898,0.0396212267203,0.0364722560864
27,0.658351831676,0.596363470392,0.376231441889,0.0354857346346,0.0581080927392
28,0.678203716385,0.623636986309,0.547159667865,0.0330111164826,0.0421850182629
29,0.685255196985,0.647464337081,0.526406419517,0.030935764773,0.0441183181447
30,0.762000973232,0.724983782577,0.611163240836,0.0240804168022,0.0362226697195
31,0.817500784385,0.779574000782,0.613995709877,0.0190136708253,0.0359588068307
32,0.690515209883,0.650693517885,0.613995709877,0.0302934484443,0.0359588068307
33,0.815439447499,0.811679242285,0.631501101514,0.0163276819602,0.0343280658973
34,0.70277256668,0.645550529647,0.631501101514,0.0310919407283,0.0343280658973
35,0.76195949188,0.755547230314,0.601931023719,0.0215774026063,0.0370827107099
36,0.765978199307,0.751453522483,0.601931023719,0.021942407087,0.0370827107099
37,0.782866215243,0.775920923418,0.61902629132,0.0198474126539,0.0354901754943
38,0.775692761051,0.760893720267,0.61902629132,0.0210663336864,0.0354901754943
39,0.752509011433,0.752613864784,0.61902629132,0.0217741134605,0.0354901754943
40,0.667567455398,0.651827594487,0.61902629132,0.0305191820809,0.0354901754943
41,0.764462221342,0.743461716835,0.610229423343,0.0226967497901,0.0363096608844
42,0.774003125875,0.750570317938,0.616880606728,0.0218996471722,0.0356900599509
43,0.649917792981,0.646469570711,0.616880606728,0.031039219255,0.0356900599509
44,0.730694510361,0.692115130961,0.592354372816,0.0271508311272,0.0379748379445
45,0.751331152804,0.706594439242,0.592658631333,0.0260178790061,0.0379464942874
46,0.788005649892,0.782361089365,0.646804840949,0.0193545472065,0.0329024231668
47,0.703263013832,0.683091128178,0.646804840949,0.0282595290833,0.0329024231668
48,0.72183911466,0.695886027983,0.585061026784,0.0267042900891,0.0386542604997
49,0.693867913859,0.687802172049,0.585061026784,0.027437356768,0.0386542604997
50,0.716970415388,0.712678928999,0.482796044103,0.0257138616105,0.0481809078761
51,0.654385659361,0.646558085506,0.482796044103,0.0311794568652,0.0481809078761
52,0.654837027375,0.62128446984,0.482796044103,0.0335243844897,0.0481809078761
53,0.720992705593,0.719696049785,0.516550703357,0.0246956160669,0.0450364421206
54,0.756538730242,0.74860319862,0.597470060342,0.0220703998898,0.0374982784236
55,0.746239346896,0.712198887551,0.597470060342,0.0255028867205,0.0374982784236
56,0.695894037019,0.697550239562,0.597470060342,0.0267060441079,0.0374982784236
57,0.702051505717,0.692289865315,0.597470060342,0.0270681782608,0.0374982784236
58,0.817639084321,0.79730186001,0.663395503185,0.0178161337968,0.0313568952186
59,0.785115059101,0.786616595491,0.663395503185,0.0185180723813,0.0313568952186
60,0.741395023015,0.703113231322,0.663395503185,0.026039104425,0.0313568952186
61,0.726470356083,0.704909334453,0.547408805127,0.0261677826311,0.0421618095087
62,0.675983015277,0.65809702421,0.547408805127,0.0302977055992,0.0421618095087
63,0.668360997146,0.637140671198,0.547408805127,0.0318991670766,0.0421618095087
64,0.686968912223,0.669756376359,0.505954065562,0.0291650954105,0.0460235877594
65,0.686839809966,0.635114275659,0.505954065562,0.0323655495507,0.0460235877594
66,0.693346083251,0.688295367721,0.50917676545,0.0275480759753,0.0457233723324
67,0.672922012338,0.65969731531,0.50917676545,0.030016652442,0.0457233723324
68,0.635796387005,0.602590885981,0.50917676545,0.0348974167301,0.0457233723324
69,0.679446275309,0.690308434002,0.490213660717,0.0271537305233,0.047489908709
70,0.727664940856,0.738704473892,0.560618202489,0.0230058775665,0.0409312683458
71,0.649690859625,0.659526914259,0.560618202489,0.0299324212277,0.0409312683458
72,0.698334903434,0.656672997732,0.560618202489,0.0303268680548,0.0409312683458
73,0.694674965516,0.697073006988,0.515924249675,0.0267391765308,0.04509480035
74,0.673792829858,0.640811899969,0.515924249675,0.0317291004616,0.04509480035
75,0.702802533612,0.719151434811,0.492713353083,0.0247417393198,0.0472570461289
76,0.703459389605,0.686813287468,0.492713353083,0.0274784719287,0.0472570461289
77,0.689607036433,0.696457029398,0.504488975018,0.0266766014675,0.0461600704596
78,0.689607036433,0.696457029398,0.504488975018,0.0266766014675,0.0461600704596
79,0.640523513133,0.595264494443,0.504488975018,0.0355930901027,0.0461600704596
80,0.693828224862,0.698086992521,0.459466132524,0.0266057151588,0.050354240674
81,0.655183320707,0.631317352896,0.459466132524,0.0323676146514,0.050354240674
82,0.693828224862,0.698086992521,0.459466132524,0.0266057151588,0.050354240674
83,0.674179946558,0.674414593371,0.459466132524,0.0285750971451,0.050354240674
84,0.642608044653,0.622040577139,0.459466132524,0.03322144297,0.050354240674
85,0.680975716205,0.624628128946,0.434572726506,0.0330577295,0.0526732231341
86,0.613700901242,0.581624768772,0.434572726506,0.036835768651,0.0526732231341
87,0.681051559249,0.594249733546,0.43395594001,0.0361758442088,0.0527306808025
88,0.677376753669,0.587678962901,0.43395594001,0.03646860143,0.0527306808025
89,0.661887858737,0.608045359621,0.511465666786,0.0349822076974,0.0455101463059
90,0.664385184086,0.612063834725,0.498027171681,0.034520434354,0.0467620294118
91,0.664385184086,0.612063834725,0.498027171681,0.034520434354,0.0467620294118
92,0.659999993573,0.583897216869,0.498027171681,0.0366901790526,0.0467620294118
93,0.679758337244,0.606515745577,0.469877799252,0.0351089120293,0.0493843262915
94,0.642239946587,0.584832910972,0.469877799252,0.0366183672502,0.0493843262915
95,0.668684337067,0.577930167087,0.469877799252,0.0375241305023,0.0493843262915
96,0.636807831008,0.531619627561,0.469877799252,0.0411852814946,0.0493843262915
97,0.650578486273,0.552687373097,0.300568014802,0.0398394528377,0.0651566324274
98,0.634684003153,0.526696327922,0.300568014802,0.0422175952031,0.0651566324274
99,0.650578486273,0.552687373097,0.300568014802,0.0398394528377,0.0651566324274
100,0.606713934429,0.541711494807,0.300568014802,0.0406323308452,0.0651566324274
101,0.652125808981,0.562997712322,0.447330613947,0.0387658594782,0.051484743053
102,0.697878902954,0.648852295326,0.304715002514,0.0309289628334,0.0647703135863
103,0.67992244146,0.597712130445,0.304715002514,0.0354584570264,0.0647703135863
