generation,train,validation,test,validmse,testmse
0,0.786122563475,0.485190648893,0.349604495468,0.0364211995054,0.0605885657478
1,0.778736403395,0.552919618429,0.358545303613,0.0313845558234,0.059755671396
2,0.798322074411,0.524993629023,0.358545303613,0.0340823760249,0.059755671396
3,0.771835352535,0.565371416894,0.261337569218,0.0301135014163,0.0688112032463
4,0.817216439927,0.696749334761,0.478986574376,0.0217093199685,0.0485357847247
5,0.814648586983,0.669425565784,0.478986574376,0.0236113159542,0.0485357847247
6,0.817216439927,0.696749334761,0.478986574376,0.0217093199685,0.0485357847247
7,0.832540319795,0.700465204509,0.464466381187,0.0212805560332,0.049888435033
8,0.833641431774,0.666303667325,0.464466381187,0.023980586601,0.049888435033
9,0.833010959873,0.69202958204,0.563442648728,0.022036109808,0.040668152833
10,0.846419305325,0.695090646109,0.53563724603,0.0220559959012,0.0432584066982
11,0.84141158335,0.705536345145,0.515095799707,0.0217294978818,0.0451719758457
12,0.84423050978,0.761479612037,0.471969891113,0.0178226962612,0.0491894343459
13,0.82832314355,0.684718814838,0.471969891113,0.0236926077205,0.0491894343459
14,0.822454175493,0.609808233086,0.471969891113,0.0286650548995,0.0491894343459
15,0.840811923218,0.731128458066,0.451753023779,0.0197628558607,0.0510727668524
16,0.866118586817,0.787581875258,0.54832810849,0.0156962982883,0.0420761704294
17,0.845194015617,0.746255907318,0.54832810849,0.0189657033837,0.0420761704294
18,0.831064412201,0.722663187885,0.54832810849,0.0206936327004,0.0420761704294
19,0.863133430533,0.760556184498,0.55861487314,0.0176573810217,0.0411178914868
20,0.858049260287,0.757044344157,0.55861487314,0.0181355781389,0.0411178914868
21,0.857692761128,0.68009477682,0.55861487314,0.022863008498,0.0411178914868
22,0.846931034437,0.733077296513,0.528382128417,0.0191566923987,0.0439342680278
23,0.841548393026,0.714173278157,0.528382128417,0.0204005699266,0.0439342680278
24,0.835477408673,0.731461647375,0.620395328347,0.0191233059042,0.0353626408029
25,0.834200001857,0.725695319411,0.620395328347,0.0197803629016,0.0353626408029
26,0.840222901934,0.683951825312,0.620395328347,0.0225364454183,0.0353626408029
27,0.822057345169,0.68558232823,0.539919577834,0.0226111991143,0.0428594796757
28,0.818574857869,0.63634640602,0.539919577834,0.0266537651973,0.0428594796757
29,0.811222011613,0.641876706606,0.353950941741,0.0263520247223,0.0601836660461
30,0.787889512177,0.581622118659,0.353950941741,0.0303458741963,0.0601836660461
31,0.798870183644,0.535510940008,0.353950941741,0.0329127190851,0.0601836660461
32,0.803469344721,0.65099281677,0.329345956785,0.0251320041643,0.062475780211
33,0.802592191665,0.576703000566,0.329345956785,0.029240613332,0.062475780211
34,0.81130569487,0.601703305758,0.308745869386,0.0291041598824,0.0643948121555
35,0.795009074103,0.612712982002,0.45037207418,0.0280130681698,0.0512014112772
36,0.806124128257,0.627428503404,0.372014434155,0.0271470039399,0.0585009344003
37,0.818421686456,0.692519433505,0.512567508669,0.0217302326185,0.0454075025778
38,0.833775694815,0.716409780555,0.453226461333,0.0206651028459,0.0509355065738
39,0.846072088955,0.700091361261,0.453226461333,0.0217022402791,0.0509355065738
40,0.83543770915,0.701514623101,0.479608637949,0.022396378343,0.0484778354624
41,0.832538690571,0.727438120872,0.455786576774,0.0204871844191,0.0506970151918
42,0.824049222967,0.638483048062,0.455786576774,0.026754841673,0.0506970151918
43,0.844939513456,0.695824164106,0.467139298287,0.0228416649748,0.0496394354438
44,0.848216416155,0.69480146947,0.467139298287,0.0228060753952,0.0496394354438
45,0.844165558475,0.678625589041,0.467139298287,0.0238727937895,0.0496394354438
46,0.856855144295,0.675065795769,0.467139298287,0.0238080201455,0.0496394354438
