建筑业增加值(亿元),乡村人口(万人),建筑业城镇单位就业人员(万人),国有城镇单位就业人员工资总额指数(上年=100),城镇单位就业人员平均工资(元),建筑业城镇单位就业人员工资总额(亿元),教育城镇单位就业人员工资总额(亿元),全社会固定资产投资中其他资金(亿元),全社会住宅投资(亿元),城镇住宅投资(亿元),房地产住宅投资(亿元),房地产业全社会固定资产投资(亿元),房屋施工面积(万平方米),住宅房屋施工面积(万平方米),固定资产投资(不含农户)其他资金(亿元),固定资产投资(不含农户)(亿元),房地产业固定资产投资(不含农户)(亿元),固定资产投资(不含农户)房屋施工面积(万平方米),固定资产投资(不含农户)住宅施工面积(万平方米),内资房地产开发企业个数(个),房地产开发企业平均从业人数(人),内资房地产开发企业平均从业人数(人),房地产开发住宅投资额(亿元),房地产开发企业住宅新开工房屋面积(万平方米),房地产开发企业其他用途新开工房屋面积(万平方米),商品房销售面积(万平方米),住宅商品房销售面积(万平方米),办公楼销售额(亿元),1-5亿元房地产开发投资额(亿元),地方财政医疗卫生支出(亿元),鲜菜类居民消费价格指数(上年=100),菜类商品零售价格指数(上年=100),乡镇数(个),镇数(个),村民委员会数(个),林业总产值指数(上年=100)(%),机动脱粒机数量(台),蔬菜播种面积(千公顷),建筑业企业从业人员(万人),内资建筑业企业从业人员(万人),建筑业企业利润总额(亿元).1,建筑业企业管理费用中的税金(亿元),国有建筑业房屋施工面积(万平方米),客运量(万人),公路客运量(万人),公路旅客周转量(亿人公里),新注册民用汽车拥有量(万辆),新注册民用载客汽车拥有量(万辆),新注册民用中型载客汽车拥有量(万辆),新注册民用小型载客汽车拥有量(万辆),新注册民用载货汽车拥有量(万辆),新注册民用轻型载货汽车拥有量(万辆),餐饮业企业所有者权益合计(亿元),普通高等学校专科招生数(万人),普通高等学校无职称专任教师数(万人),中等职业学校招生数(万人),中等职业学校在校学生数(万人),中等职业学校毕业生数(万人),中等职业学校获得职业资格证书毕业生数(万人),中等职业学校预计毕业生数(万人),普通高中学校数(所),普通高中招生数(万人),普通高中在校学生数(万人),普通高中毕业生数(万人),普通高中教职工数(万人),普通高中专任教师数(万人),初中学校数(所),初中招生数(万人),初中在校学生数(万人),初中毕业生数(万人),普通小学学校数(所),普通小学招生数(万人),普通小学在校学生数(万人),普通小学毕业生数(万人),普通小学教职工数(万人),普通小学专任教师数(万人),特殊教育招生数(万人),特殊教育在校学生数(万人),特殊教育毕业生数(万人),小学生师比(教师人数=1),国内外观设计专利申请受理量(项),国内外观设计专利申请授权量(项),自动气象站站点个数(个),乡村医生和卫生员数(万人),其他办的村卫生室个数(个),基层医疗卫生机构床位数(万张),农村卫生机构床位数(万张),医疗卫生机构门诊健康检查人数(万人),入院人数(万人),医疗卫生机构出院人数(万人),政府办医院病床工作日(日),政府办医院病床使用率(%),家庭儿童收养登记总数(件),中国公民收养登记数(件),农村集中供养五保人数(万人),国家重点优抚对象(万人),国家重点优抚对象定期补助人数(万人),福利彩票销售额(亿元),福利彩票提取公益金(亿元),结婚登记(万对 ),内地居民登记结婚(万对),内地居民初婚登记(万人),社会组织女性职工人数(人),自治组织单位数(个),村民委员会单位数(个),村民委员会职工人数(人),艺术表演团体机构数(个),艺术表演团体演出场次(万场次),艺术表演团体国内演出场次(千场次),博物馆参观人次(万人次),公共图书馆参观展览人次(万人次),城镇居民基本医疗保险年末参保人数(万人),城镇居民医疗保险基金收入(万元),城镇居民医疗保险基金支出(万元),城镇居民医疗保险基金累计结余(万元),odds
0.174157225962,0.0117527862209,0.097418966248,0.410404624277,1.0,0.154398506073,0.552968078535,0.443416738957,0.310602475275,0.316401436761,0.308162583311,0.39351925987,0.175832043347,0.151365608445,0.444078560318,0.143208100686,0.39995286257,0.176877843435,0.169961176139,0.406497494747,0.411506135107,0.397703718756,0.308162583311,0.113441421982,0.237630957427,0.142514286065,0.123797198904,0.837236561408,0.0899204694244,0.375235010773,0.187845303867,0.275449101796,0.0173396674584,0.0228882833787,0.0324868004959,0.873754152824,0.00193170488534,0.0182861494112,0.0605964062699,0.0592700506057,0.442045396321,0.176410949645,0.527574386162,0.354272450312,0.326941588695,0.066073474806,0.233511043412,0.248030364023,1.0,0.243175600955,0.1152368758,0.129169193451,0.598877980365,0.0957518543493,0.177083333333,0.0519807648271,0.0861523869744,0.131254061079,0.083118102841,0.115150093809,0.281790437436,0.0542452830189,0.0584792516191,0.0583859649123,0.206315789474,0.115972222222,0.0539149888143,0.0447327219861,0.0471661540847,0.0359406457386,0.0114016357117,0.0662779397473,0.0585147204396,0.0488324276693,0.0793450881612,0.077264091197,0.115384615385,0.158150851582,0.222222222222,0.369337979094,0.077662209674,0.0918719025936,0.0520206362855,0.0197869101979,0.0,0.0111553784861,0.0,0.125489527904,0.166152935001,0.166526902372,0.55222262378,0.550660792952,0.0400095831337,0.0302070645554,0.00371747211896,0.0418848167539,0.0367647058824,0.231077694236,0.266313932981,0.130081300813,0.12933945113,0.0970451010886,0.138020400704,0.0534202966069,0.0324868004959,0.0287666777439,0.327063740857,0.0754189944134,0.0673614997202,0.0656569476934,0.152120968821,0.0239920407098,0.066264701108,0.0498443398134,0.0678989028425,0.634621085434
0.114721436071,0.00668693009119,0.0654516251366,0.248554913295,0.509144768593,0.0808904835535,0.166598767298,0.248184169401,0.187377404172,0.193945304757,0.18537862994,0.251126928589,0.197887622538,0.144824830133,0.24855459652,0.232449130148,0.257389924323,0.201489482866,0.166836599768,0.177307257152,0.165764753472,0.162644787645,0.18537862994,0.182088176009,0.183445210999,0.158738024278,0.163479203273,0.0788616170851,0.110172882013,0.154345469267,0.149171270718,0.221556886228,0.00427553444181,0.0103542234332,0.0291573213714,0.34219269103,0.0124626121635,0.0360501482146,0.0392889002166,0.0392066656443,0.157780396577,0.0996958431903,0.0528237082389,0.0933444185294,0.0842093103847,0.0348714159586,0.0974866717441,0.0913221001783,0.117647058824,0.0898085093999,0.137857447717,0.147968465737,0.237727910238,0.185097774781,0.114583333333,0.0542706663613,0.0607018653177,0.058046350444,0.0633951631838,0.0649624765478,0.154628687691,0.053508254717,0.0546414008155,0.0630175438596,0.102315789474,0.0805555555556,0.0514541387025,0.0315365690002,0.03693174476,0.0279621206472,0.00342451956005,0.0384191771947,0.0309312749558,0.0296666177119,0.0461796809404,0.0394764618957,0.0384615384615,0.043795620438,0.0333333333333,0.400696864111,0.0324419347965,0.0364896480592,0.0376182287188,0.0334855403349,0.114624505929,0.0318725099602,0.0167557932264,0.0717423785682,0.0846243926076,0.0848324181026,0.547765329478,0.546255506608,0.0232390991854,0.0216808769793,0.0,0.0429319371728,0.0453431372549,0.17694235589,0.185185185185,0.0690192008303,0.0688252099385,0.0615418795823,0.0496062730505,0.0327665191397,0.0291573213714,0.0319590471679,0.0365726227795,0.0272346368715,0.0274202574147,0.126735335549,0.0971765020741,0.0796092118998,0.111371801741,0.0875070397284,0.0839284909352,0.356426012846
0.394883694014,0.710233029382,0.194347156847,0.312138728324,0.0488442144153,0.152044744413,0.48464379115,0.292655723669,0.545887551949,0.503148663543,0.505661510381,0.540634482814,0.584025069186,0.571360493172,0.293092526776,0.618752328528,0.513307061249,0.55568122306,0.577189259102,0.531275254566,0.492017618769,0.542562487299,0.505661510381,0.608509398137,0.340016490504,0.576945515254,0.567195096996,0.109243500481,0.704706367295,0.546089557974,0.198895027624,0.233532934132,0.438954869359,0.516621253406,0.655182982043,0.521594684385,0.125685443669,0.660101710587,0.142194469224,0.142424474774,0.162463493365,0.191280838121,0.208782413194,0.330067292348,0.319221439298,0.161364049067,0.761106879919,0.745068721606,0.264705882353,0.741749607124,0.849765258216,0.791388720437,0.194249649369,0.507754551585,0.34375,0.496908632929,0.504584255454,0.630929174789,0.486968772012,0.602485928705,0.547304170905,0.536409198113,0.502950347805,0.485333333333,0.498947368421,0.548611111111,0.513422818792,0.574069932155,0.559248442871,0.418015062262,0.474275814834,0.608292840946,0.594801410315,0.568438830959,0.669815281276,0.661177960735,0.25641025641,0.277372262774,0.133333333333,0.65737514518,0.0325218410398,0.0445774949058,0.599097162511,0.629375951294,0.848407347129,0.557768924303,0.694830659537,0.339434847571,0.644549284589,0.642485189493,0.567883387544,0.568281938326,0.0881648298994,0.0791717417783,0.245353159851,0.587434554974,0.61887254902,0.364912280702,0.365079365079,0.55500778412,0.555103454246,0.473005998667,0.279554440642,0.643554106168,0.655182982043,0.565328676174,0.44618599791,0.259427374302,0.256260492445,0.35056382795,0.10194031848,0.118606471816,0.091889197424,0.0731433392837,0.184967499977,0.634502181896
0.153293522083,0.293819655522,0.0749771343164,0.260115606936,0.112999051407,0.0660521498149,0.275255279723,0.124345568697,0.295672605035,0.274256444413,0.166452646025,0.290495368183,0.284159394027,0.361783838372,0.124070178832,0.270571355962,0.276752292804,0.265729844021,0.366269464711,0.386132212704,0.262820800935,0.294701280228,0.166452646025,0.255525621182,0.217311302517,0.154987325683,0.157794013917,0.0689218651101,0.292359730372,0.267713293719,0.0,0.0359281437126,0.258194774347,0.251771117166,0.368708468579,0.305647840532,0.0547731804586,0.126839085149,0.07558302536,0.0752824208966,0.0915407081006,0.110172355526,0.214718211766,0.181884632124,0.16481845135,0.0934308488989,0.274587458746,0.282707458738,0.107843137255,0.28170653629,0.203585147247,0.16434202547,0.291725105189,0.30141604855,0.3125,0.285550721319,0.30208662662,0.320121290882,0.284104249824,0.332786116323,0.478128179044,0.349646226415,0.370400575678,0.361122807018,0.381052631579,0.392361111111,0.407829977629,0.250652352196,0.282919391104,0.303333084781,0.246887716047,0.192095885973,0.216874840116,0.250991334998,0.329135180521,0.330377876293,0.153846153846,0.170316301703,0.0888888888889,0.16724738676,0.016207649691,0.0150184901009,0.35834049871,0.294520547945,0.82445942804,0.278884462151,0.314795008913,0.176324412173,0.247903570996,0.246963507994,0.293579086857,0.290748898678,0.0527072352659,0.0138855054811,0.089219330855,0.184293193717,0.18137254902,0.167919799499,0.169312169312,0.286369140287,0.286641849191,0.267540546545,0.161619098249,0.357338820302,0.368708468579,0.332080661241,0.334378265413,0.182262569832,0.176797705652,0.168947145322,0.0663455105045,0.0681758872651,0.0490916809003,0.0474985124171,0.0930334556404,0.439698821468
0.260951997773,0.157649442756,0.0468021504897,0.0404624277457,0.1925310789,0.0559488687721,0.255897388722,0.118047899624,0.180926714135,0.177841210939,0.153911658386,0.185227627565,0.220435391205,0.26596877051,0.118224091938,0.403865294511,0.183531334555,0.218366019802,0.29845371249,0.327784063359,0.215713065756,0.242481203008,0.153911658386,0.19816014067,0.176620751017,0.244990809716,0.222016190157,0.0585601425323,0.190442995005,0.245536510725,0.0718232044199,0.191616766467,0.157007125891,0.21416893733,0.133555298608,0.229235880399,0.0679835493519,0.140219194474,0.0393653625589,0.0394750293922,0.0703591740534,0.0804325785738,0.021378408152,0.093249561986,0.0775608691746,0.0805380053976,0.18334602691,0.19132785094,0.0588235294118,0.19207263838,0.116517285531,0.142510612492,0.319074333801,0.181726230614,0.15625,0.172429585528,0.169854568448,0.162226554039,0.128199107772,0.168151969981,0.253306205493,0.201798349057,0.205468937395,0.204771929825,0.197894736842,0.202777777778,0.140715883669,0.131961529859,0.140955728426,0.138468421445,0.0570887554893,0.112471655329,0.111379283498,0.128359524159,0.21389588581,0.183660544649,0.128205128205,0.121654501217,0.0555555555556,0.0963995354239,0.0052072235244,0.00774823274886,0.312768701634,0.133942161339,0.175773076029,0.178486055777,0.228520499109,0.10958347532,0.186787449692,0.186882895555,0.0826406457053,0.079295154185,0.0462386200287,0.0270401948843,0.089219330855,0.0450261780105,0.0404411764706,0.212030075188,0.222222222222,0.170558726864,0.170634577093,0.133570317707,0.0951880586105,0.138287134094,0.133555298608,0.123219096238,0.152560083595,0.0782122905028,0.0735170677112,0.135849638268,0.0441991168206,0.0817947546973,0.0664004533695,0.0590749092442,0.0927575885975,0.0511368655595
0.442298948134,0.245390070922,0.223949851652,0.121387283237,0.10003494816,0.215343956614,0.354368995834,0.302915790202,0.611079238943,0.60686188222,0.647120390428,0.56575518227,0.607153129781,0.5968230774,0.303240572842,0.576305394289,0.565246745922,0.586450016626,0.63051617735,0.577339582997,0.429444019956,0.411811623654,0.647120390428,0.586702250017,0.281978301478,0.581913070842,0.557708730361,0.0920599198256,0.604062606081,0.308430196654,0.182320441989,0.221556886228,0.178859857482,0.29591280654,0.138653998858,0.398671096346,0.0924102691924,0.24468195045,0.214120045877,0.213208608087,0.256279141261,0.573504562352,0.121953318645,0.516694751643,0.509420764186,0.214669914403,0.232698654481,0.23687388579,0.117647058824,0.236482160526,0.191634656423,0.170406306853,0.314165497896,0.303776129467,0.260416666667,0.231738035264,0.249920961113,0.235867446394,0.187367926743,0.252814258912,0.392675483215,0.280807783019,0.28635164308,0.302175438596,0.245052631579,0.309027777778,0.321476510067,0.234101245061,0.240715374874,0.218924763254,0.147939244994,0.181988986071,0.187912222358,0.228374210604,0.2432829555,0.254802617691,0.102564102564,0.172749391727,0.0888888888889,0.326364692218,0.0196303004475,0.0260245025282,0.305030094583,0.181126331811,0.126017205301,0.256573705179,0.304099821747,0.245112584865,0.412030743139,0.411772662104,0.63703168293,0.638766519824,0.0364159080019,0.036784409257,0.122676579926,0.240837696335,0.241421568627,0.497744360902,0.495590828924,0.281525687597,0.280235477448,0.263097089536,0.243691231684,0.16722312809,0.138653998858,0.139060743401,0.183908045977,0.0436452513966,0.0420397313934,0.159042156148,0.301418439716,0.116143658664,0.0878507472121,0.0689764735239,0.140117468875,0.233654300753
0.171054263267,0.204255319149,0.0697347580699,0.21387283237,0.0721762718634,0.0630147419809,0.189938627732,0.11620993947,0.118675044397,0.115177176749,0.119257277691,0.116135695813,0.156590090501,0.177925343353,0.115337314539,0.247686522789,0.113915113516,0.156337111478,0.201051155493,0.259899789882,0.229767630006,0.250447063605,0.119257277691,0.211062354037,0.155341479208,0.155544157809,0.152530669499,0.0143470004923,0.167038455943,0.216251080706,0.149171270718,0.215568862275,0.120902612827,0.180926430518,0.107379184487,0.358803986711,0.106181455633,0.101819368524,0.0555371479546,0.0549890098656,0.108387559563,0.172355525515,0.0233764273457,0.186549342142,0.169791947429,0.0879706451431,0.174917491749,0.180861464144,0.0882352941176,0.181304929864,0.124626547162,0.121892055791,0.234221598878,0.173971679029,0.0416666666667,0.0833524158461,0.105121719886,0.152696556205,0.101667057995,0.118198874296,0.214649033571,0.16789504717,0.17270328616,0.19550877193,0.154947368421,0.166666666667,0.245861297539,0.124655185268,0.128860517406,0.12556856312,0.163127996455,0.0901198574668,0.108298390595,0.135996475253,0.203610411419,0.195060164661,0.0769230769231,0.102189781022,0.0666666666667,0.0,0.00596633283614,0.00855324394355,0.279449699054,0.138508371385,0.107416879795,0.145019920319,0.233511586453,0.0792078429317,0.210376482307,0.208814618443,0.370316829298,0.370044052863,0.0026353617633,0.0,0.0855018587361,0.128795811518,0.126225490196,0.195488721805,0.190476190476,0.186472928559,0.185957925721,0.174938902466,0.0326486028508,0.110865232808,0.107379184487,0.0769845366292,0.0261233019854,0.00942737430168,0.00919837716844,0.131533689095,0.110424193764,0.126973512526,0.076452225978,0.0700019562175,0.172143739351,0.239628809776
0.158308968003,0.278216818642,0.0712070850157,0.0751445086705,0.0309041588311,0.0720122597488,0.254149527552,0.0927477826186,0.160865509428,0.153842860201,0.155484158797,0.155178867387,0.175620400078,0.209965754004,0.092654110555,0.208948208606,0.150624673872,0.173368103188,0.234824137019,0.335219007597,0.202040541148,0.223826458037,0.155484158797,0.21529746147,0.155048004137,0.246887104074,0.23753871199,0.0229270694142,0.217205761117,0.255870123098,0.0662983425414,0.0898203592814,0.18622327791,0.223978201635,0.101653594862,0.232558139535,0.106866899302,0.133251747301,0.0430228112655,0.0430915503757,0.0474458164677,0.123014531936,0.0851700368621,0.252597395351,0.224423395326,0.124263467355,0.177557755776,0.18649721088,0.0980392156863,0.186252255398,0.10371318822,0.110976349303,0.149368863955,0.232299393122,0.114583333333,0.163269979391,0.178785962694,0.202079272255,0.153557173045,0.188789868668,0.35503560529,0.240566037736,0.245190693212,0.256561403509,0.229473684211,0.264583333333,0.329530201342,0.164392753299,0.204688186494,0.16978599657,0.0950002014423,0.114156138646,0.132456150107,0.162138346306,0.231108312343,0.234958834706,0.166666666667,0.192214111922,0.133333333333,0.00348432055749,0.024904112508,0.0235591557445,0.237317282889,0.179604261796,0.143687514532,0.208764940239,0.269162210339,0.126469894362,0.314053813953,0.313549922904,0.3747741236,0.374449339207,0.00359367513177,0.00194884287454,0.185873605948,0.124607329843,0.121323529412,0.222556390977,0.236331569665,0.287752983913,0.286468704008,0.258742501666,0.193711167226,0.116468669928,0.101653594862,0.116562139842,0.00835945663532,0.00872905027933,0.00657526580862,0.289402660646,0.092546500736,0.11198460334,0.104254504605,0.0912071087065,0.185299712413,0.201043981439
0.154646590186,0.003242147923,0.0788587235372,0.0,0.966433124199,0.12041349123,0.332947840143,0.316616801402,0.254017795322,0.264180086745,0.287564015355,0.30897959919,0.152858117188,0.150294974433,0.317089367601,0.121977601721,0.317393403024,0.157034003302,0.17720970441,0.394536932277,0.29863814104,0.249527535054,0.287564015355,0.139272165841,0.211488384443,0.206930056776,0.197463442963,0.699181845887,0.109124193783,0.296271391127,0.524861878453,0.586826347305,0.0,0.00272479564033,0.0,0.0,0.0,0.0563269968181,0.0943035554989,0.0922404539181,0.200338166726,0.12436633998,0.0835500391924,0.0655402917118,0.0150552539371,0.0573321394356,0.166844376745,0.16740468112,0.323529411765,0.16407659624,0.0798122065728,0.00909642207398,0.712482468443,0.156439649359,0.135416666667,0.0776276620105,0.090104331331,0.106995884774,0.107771777413,0.093339587242,0.220752797558,0.0508549528302,0.0487886783401,0.0488421052632,0.107368421053,0.0875,0.0953020134228,0.0518154029673,0.0781795156747,0.0375065244948,0.0,0.0728862973761,0.0564904514565,0.0623439565281,0.0636020151134,0.0658644711843,0.128205128205,0.16301703163,0.177777777778,0.50406504065,0.0611016407415,0.102148373626,0.0309544282029,0.0,0.0209253661939,0.111553784861,0.00142602495544,0.140811030433,0.198955487058,0.199826872616,0.975906517287,0.977973568282,0.0534259702923,0.0392204628502,0.0,0.0366492146597,0.0330882352941,0.205012531328,0.229276895944,0.105777547137,0.104319972297,0.0737613863586,0.122886001927,0.0386417164894,0.0,0.0,0.132706374086,0.0865921787709,0.0865976496922,0.27535156289,0.102903786966,0.0378066283925,0.081886266899,0.0912712268996,0.0303174274046,0.0
1.0,0.51327254306,1.0,0.416184971098,0.311005342076,1.0,0.831035706307,0.996156699783,1.0,1.0,1.0,1.0,1.0,0.880695488969,0.997208320237,0.998855659649,1.0,1.0,0.979150008556,0.997252303216,0.827084363342,0.821464133306,1.0,1.0,0.670199236965,1.0,1.0,0.429425416696,1.0,0.702726811127,0.425414364641,0.461077844311,0.178147268409,0.369482288828,0.178635610103,0.418604651163,0.0926595214357,0.733474749123,1.0,1.0,1.0,1.0,0.220434214986,0.857257641532,0.871882741006,0.512971114771,0.879360243717,0.941227212606,0.323529411765,0.941621558699,0.378147673922,0.267434808975,0.835904628331,0.644302090357,0.322916666667,0.520494618731,0.558488776478,0.562053281352,0.536980511857,0.573170731707,0.547304170905,0.444280660377,0.469417126409,0.534035087719,0.522947368421,0.639583333333,0.443176733781,0.4286885857,0.446514873491,0.427037506524,0.131582128037,0.542921930677,0.491574814535,0.422675870172,0.504198152813,0.527549081697,0.410256410256,0.515815085158,0.333333333333,0.718931475029,1.0,1.0,0.269991401548,0.281582952816,0.218321320623,0.571314741036,0.644206773619,0.685480615481,0.759903355632,0.760935428896,0.852066016143,0.850220264317,0.475802587446,0.440194884287,0.375464684015,0.513089005236,0.525735294118,0.660651629073,0.636684303351,0.704808856599,0.704181456151,0.614530104421,0.591745024421,0.241465434687,0.178635610103,0.233548514823,0.26750261233,0.208100558659,0.203308617795,1.0,0.254489495517,0.229938674322,0.259330274478,0.26349473557,0.22842872984,0.916502080472
