generation,train,validation,test,valid_mse,test_mse
0,0.515459358097,0.302788176368,0.528442702811,0.0389461487536,0.0439286251296
1,0.420360038429,0.435412457697,0.456312454239,0.0498158668253,0.0506480262902
2,0.480422692388,0.28159309368,0.389569637267,0.0454701508937,0.0568655532044
3,0.527282318135,0.338669211026,0.384955590141,0.0364094547248,0.0572953816637
4,0.599490362668,0.484204639393,0.51170181162,0.0290843223244,0.0454881478808
5,0.563029096044,0.583353464376,0.494578994617,0.035063561144,0.0470832495021
6,0.625110571385,0.513605228806,0.528738961663,0.0264078658274,0.0439010266932
7,0.611959516232,0.619686837014,0.518216091765,0.03443680729,0.0448813003733
8,0.547912257269,0.515438589201,0.53111769779,0.0347748574652,0.0436794319724
9,0.571208661537,0.502949848453,0.425812023607,0.0345140809388,0.0534893395124
10,0.349197140196,0.511871109933,0.440270479419,0.0484787017211,0.0521424404418
11,0.505482234873,0.299612856249,0.465403970834,0.0435809303704,0.0498010924674
12,0.536272171324,0.360094565859,0.405550167635,0.0398393412316,0.0553768630026
13,0.545652980727,0.416267044318,0.367923630022,0.0368292052575,0.0588820193762
14,0.559604993386,0.462876275125,0.373686347111,0.0357135207324,0.0583451848488
15,0.55955039391,0.479268963641,0.382276935093,0.0360737749276,0.0575449157801
16,0.626910279199,0.471481125969,0.494784934108,0.0283212981551,0.0470640649009
17,0.529945960629,0.58301887226,0.505534375238,0.0348936033036,0.046062684639
18,0.599589391468,0.484036648357,0.540582010983,0.0306020650139,0.0427977697252
19,0.536714820639,0.552725107138,0.542604080011,0.0381034023602,0.0426094008613
20,0.629865590252,0.453565088009,0.504599340597,0.0285629143659,0.0461497891892
21,0.633129468896,0.58766714256,0.524145090772,0.028158247613,0.0443289756052
22,0.604734600893,0.596587295312,0.527578191665,0.0303381709514,0.0440091599581
23,0.626186010411,0.563618319239,0.510367744209,0.0280958974613,0.0456124249253
24,0.636643972709,0.596353588786,0.506214849217,0.0284903530991,0.045999294068
25,0.561258314434,0.594232205078,0.505761605305,0.0354926282442,0.0460415166824
26,0.55525392905,0.500168479953,0.501907343105,0.0343238963798,0.0464005662408
27,0.465657200287,0.504221261317,0.502171872585,0.0415882493493,0.0463759236016
28,0.600556197692,0.40105970949,0.497383119783,0.029320952213,0.0468220270293
29,0.467724731536,0.573396392865,0.503597307301,0.043666561841,0.0462431350992
