generation,train,validation,test,valid_mse,test_mse
0,0.148702377087,-0.0609285653573,0.26562308709,0.0701983360566,0.0684119794209
1,0.274875983886,0.0476970082494,0.31082859824,0.0586730311965,0.0642007924349
2,0.367137940907,0.196438752074,0.304210331774,0.0509764067531,0.0648173269436
3,0.450261592096,0.295966655266,0.338927082917,0.0443154830601,0.0615832360797
4,0.494528190595,0.385071393775,0.359735679486,0.0408833120587,0.0596447801516
5,0.512622019429,0.430311954506,0.372115428761,0.0398308260882,0.0584915260967
6,0.512890035245,0.442651459139,0.37743266722,0.0404421840363,0.0579961907973
7,0.549374415347,0.43522443129,0.399866813007,0.0365196074148,0.0559063044012
8,0.543215936354,0.484371355283,0.403396820213,0.0377321013618,0.0555774613016
9,0.587814059264,0.477368994771,0.40790684578,0.0326453158444,0.0551573231262
10,0.58185788735,0.541910672278,0.394533099465,0.0312310712389,0.0564031744616
11,0.593002581433,0.564689494132,0.409212438527,0.0305216938242,0.0550356986815
12,0.654208105365,0.575053319188,0.431513128788,0.0297153213314,0.0529582445345
13,0.659649951677,0.586983497211,0.416433026359,0.0313153510534,0.0543630540253
14,0.66727811441,0.56279439253,0.426324936785,0.028894773233,0.0534415583183
15,0.612673663399,0.598346150869,0.415930994178,0.0325796479242,0.0544098215838
16,0.684980166594,0.54132778156,0.40267613981,0.028038049361,0.0556445973622
17,0.692870935967,0.598337398244,0.397345375942,0.0276062510091,0.0561411926412
18,0.642586345022,0.600229091844,0.396700701487,0.0311032992503,0.0562012482541
19,0.580847606463,0.556821482846,0.422331789766,0.0403420681261,0.0538135458998
20,0.644795727443,0.415187211749,0.418720599232,0.0279238052894,0.0541499517538
21,0.555568782455,0.598212613687,0.413290163377,0.0331536329184,0.0546558321259
22,0.592034080856,0.524764429771,0.440930508711,0.0310362118357,0.0520809544262
23,0.607880338443,0.563952020891,0.435610388949,0.0301643410464,0.0525765581377
24,0.673873935864,0.575798836186,0.452639312478,0.0279234116457,0.0509902033034
25,0.548701931083,0.604259430891,0.460191977105,0.0404074720404,0.0502866235367
26,0.674655986842,0.426199715042,0.464698387728,0.0277728751576,0.0498668221167
27,0.599936997214,0.607546930189,0.463396278069,0.0318626197136,0.049988122089
28,0.592139710625,0.545486944694,0.467309596801,0.0365640092387,0.049623571031
29,0.619469004559,0.477297922659,0.43286587657,0.0315103599531,0.0528322272922
