1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,n
0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1
0,0,0,2,6,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,2,0,0,0,2
0,0,0,3,9,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3,0,0,0,3
0,0,0,4,12,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,4,0,0,0,4
0,0,0,5,13,0,0,2,6,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5,5,0,0,0,5
0,0,0,6,14,0,0,4,8,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6,6,0,0,0,6
0,0,0,7,15,0,0,6,10,0,0,0,0,0,0,7,0,0,0,0,0,7,0,7,7,0,0,0,7
0,0,0,8,16,0,0,8,12,0,0,0,0,0,0,8,0,0,0,0,0,8,0,8,8,0,0,0,8
0,0,0,9,17,0,0,10,14,0,0,0,0,0,0,9,0,0,0,0,0,9,0,9,9,0,0,0,9
0,0,0,10,18,0,0,12,15,0,0,0,0,0,0,10,0,0,0,0,0,10,0,10,10,0,0,0,10
0,0,0,11,19,0,0,14,16,0,0,0,0,0,0,11,0,0,0,0,0,11,0,11,11,0,0,0,11
0,0,0,12,20,0,0,16,17,0,0,0,0,0,0,12,0,0,0,0,0,12,0,12,12,0,0,0,12
0,0,0,13,21,0,0,18,18,0,0,0,0,0,0,13,0,0,0,0,0,13,0,13,13,0,0,0,13
0,0,0,14,22,0,0,20,19,0,0,0,0,0,0,14,0,0,0,0,0,14,0,14,14,0,0,0,14
0,0,0,15,23,0,0,22,20,0,0,0,0,0,0,14,0,0,0,0,0,16,0,15,15,0,0,0,15
0,0,0,16,24,0,0,24,21,0,0,0,0,0,0,14,0,0,0,0,0,18,0,16,16,0,0,0,16
0,0,0,17,25,0,0,26,22,0,0,0,0,0,0,14,0,0,0,0,0,20,0,17,17,0,0,0,17
0,0,0,18,26,0,0,28,23,0,0,0,0,0,0,14,0,0,0,0,0,22,0,18,18,0,0,0,18
0,0,0,19,27,0,0,30,24,0,0,0,0,0,0,14,0,0,0,0,0,24,0,19,19,0,0,0,19
